idx,name,score,writer,age_limit,g1,g2,g3,g4,g5,g6,g7,g8,g9,g10,g11,g12,keywords
1,인생존망,9.85,박태준,0,1,0,0,0,0,1,0,0,0,0,0,1,"['한번', '학교', '내가', '인생']"
2,독립일기,9.97,자까,0,1,0,1,0,0,0,0,0,0,0,0,0,"['혼자', '처음']"
3,모죠의 일지,9.97,모죠,0,1,0,0,0,0,0,0,0,0,0,0,0,"['소신', '내성', '비밀', '취향', '성향', '내성적']"
4,한림체육관,9.72,혜성,0,1,0,0,1,0,0,0,0,0,0,0,0,"['영하', '학원', '액션물', '그릇', '한림', '진정', '무도', '실천', '세상', '체육관']"
5,유미의 세포들,9.93,이동건,0,1,0,0,0,0,1,0,0,0,0,0,1,"['머릿속', '생각', '유미', '세포']"
6,호랑이 들어와요,9.94,배세혁,0,1,0,0,0,1,0,0,0,0,0,0,0,"['일상', '신묘', '정체불명', '불명', '아이', '부부']"
7,삼국지톡,9.94,무적핑크,0,1,0,0,0,0,0,0,0,0,1,0,0,"['군사', '메신저', '방송', '활약', '난세', '모집', '개인', '조조', '영웅', '삼국지', '소통', '핸드폰']"
8,약한영웅,9.9,서패스,0,1,0,0,0,0,1,0,0,0,0,0,0,"['백사', '심리', '이름', '선천적', '선천', '이용', '두뇌', '소년', '도구']"
9,겟백,9.98,세윤,0,1,0,0,0,0,0,1,0,0,0,0,0,"['은정', '언니', '천재', '다정', '지옥', '소녀', '운명', '하루', '능력']"
10,칼가는 소녀,9.97,오리,0,1,0,0,0,0,0,1,0,0,0,0,0,"['두려움', '치사율', '사랑', '대표작', '복수', '최강', '최강자', '가슴', '소녀', '희귀', '세상']"
11,닥터앤닥터 육아일기,9.98,닥터베르,0,1,0,0,0,0,0,1,0,0,0,0,0,"['기반', '좌충우돌', '공학', '출산', '대로', '모제', '최고', '완벽', '항문', '임신', '중구난방', '육아', '우여곡절', '앞길', '의사', '논문', '난방', '엄마', '아빠', '발모제', '박사', '산부인과']"
12,나쁜사람,9.86,둠스,0,1,0,1,0,0,0,0,0,0,0,0,0,"['이상형', '이상', '노력', '동안', '오늘']"
13,화장 지워주는 남자,9.94,이연,0,1,0,0,1,0,0,0,0,0,0,0,0,"['얼굴', '아티스트', '천재', '뮤즈', '대학생', '메이크업']"
14,오늘의 순정망화,9.98,손하기,0,1,0,0,1,0,0,0,0,0,0,0,0,"['시대', '가야', '집단', '삼국', '전학생', '엘리트', '마음']"
15,병의 기록,9.76,베어리,0,1,0,0,0,0,0,1,0,0,0,0,0,"['충성', '군대']"
16,오로지 너를 이기고 싶어,9.96,아마도지,0,1,0,0,0,0,0,1,0,0,0,0,0,"['처음', '한번', '패배', '여주', '내기', '승자', '기고']"
17,윌유메리미,9.93,마인드C,0,1,0,0,0,0,0,0,0,0,0,0,0,"['청순', '리얼', '터프', '외모', '부산', '커플', '동갑', '소녀', '메리', '가이', '마음', '일기', '감성', '서울', '연애']"
18,회춘,9.73,기안84,0,1,0,1,0,0,0,0,0,0,0,0,0,"['기안', '청춘', '세상', '가의']"
19,노곤하개,9.98,홍끼,0,1,0,0,1,0,0,0,0,0,0,0,0,"['멍멍이', '일상']"
20,언덕 위의 제임스,9.92,쿠당탕,0,1,0,1,0,0,0,0,0,0,0,0,0,"['지금', '제임스', '세계', '에피소드', '코믹', '막장']"
21,범이올시다!,9.98,해,0,1,0,0,0,0,0,0,0,1,0,0,0,"['정체불명', '고양', '호랑이', '불명', '소녀', '할머니', '호통']"
22,헬프미,9.23,철준,0,1,0,0,0,0,0,0,0,0,0,0,0,"['행방', '심부름', '살해', '할머니', '배후', '살인범']"
23,진짜 정말 맹세코 좋아해,9.87,개차반,0,1,0,0,0,0,0,0,0,0,0,0,0,"['정체', '약간', '사랑', '정체불명', '불명', '오의', '신경', '일대기', '생존', '구주', '오늘']"
24,홍시는 날 좋아해!,9.97,강하다,0,1,0,0,0,0,0,0,0,0,0,0,0,"['전학', '모습', '비밀', '호가', '단내', '홍시']"
25,서브 콤플렉스,9.94,소이,0,1,0,1,0,0,0,0,0,0,0,0,0,"['주가', '순정', '서브', '주인공']"
26,웰캄투실버라이프,9.97,솔녀,0,1,0,0,1,0,0,0,0,0,0,0,0,"['황혼', '일상', '청춘', '보고', '할아버지', '힐링', '본격', '소통', '할머니', '금지']"
27,자판귀,9.95,윤정민,0,1,0,0,0,0,0,0,0,1,0,0,0,"['골목길', '수상', '자판기', '무산', '박도', '연습', '만취', '데뷔', '대표', '상태', '비리']"
28,마음의소리,9.86,조석,0,1,0,0,1,0,0,0,0,0,0,0,0,"['개그', '최강', '소리', '마음']"
29,인터셉트,9.92,임주이,0,1,0,0,0,0,0,0,0,0,0,0,0,"['윤서', '사랑', '처음']"
30,대학일기,9.97,자까,0,1,0,0,0,0,0,0,0,1,0,0,0,"['기반', '캠퍼스', '대학', '현실', '사실', '실적', '일기', '로망', '주의']"
31,수상한 비밀상담부,9.93,149,0,1,0,0,0,0,0,1,0,0,0,0,0,"['골목길', '지금', '귀신', '해원', '거지', '강한', '이유', '혼란', '충격', '신경', '청춘', '방과', '성장', '남자애', '드라마', '오컬트']"
32,불발소년,9.85,곤세,0,1,0,1,0,0,0,0,0,0,0,0,0,"['수학여행', '킬러', '소녀', '소년', '프로', '교육', '감정']"
33,조선왕조실톡,9.89,무적핑크,0,1,0,0,1,0,0,0,0,0,0,0,0,"['메신저', '핑크', '시대', '무적', '조선']"
34,다함께 이겨내요,9.88,웹툰작가,0,1,0,0,1,0,0,0,0,0,0,0,0,"['대한민국', '일러스트', '러스트', '마음']"
35,MLB카툰,8.04,최훈,0,1,0,0,0,0,0,0,0,0,0,1,0,"['동일', '일은', '컨텐츠', '제공', '스포츠', '스페셜', '업데이트']"
36,만물의 영장,9.98,보민,0,1,0,0,0,0,0,0,1,0,0,0,0,"['근육질', '동물', '물론', '영장', '사건', '문명', '바다', '적응', '밀림', '의사소통', '실종', '좌충우돌', '구사', '특별', '무인도', '도시', '적응기', '사고', '능력']"
37,놓지마 정신줄,9.92,신태훈,0,1,0,1,0,0,0,0,0,0,0,0,0,"['이탈', '유체', '예방', '정주', '프로젝트', '다양', '주변', '인물', '남매', '에피소드', '본격', '정신', '독특']"
38,2020 최애캐의 MBTI,9.65,웹툰작가,0,1,0,1,0,0,0,0,0,0,0,0,0,"['사랑', '눈물', '갈등', '타입', '주인공', '기대']"
39,힘내요 일본!-[릴레이웹툰],6.99,웹툰작가,0,1,0,0,1,0,0,0,0,0,0,0,0,"['상황', '일본', '지진', '응원']"
40,수능일기,9.98,자까,0,1,0,0,1,0,0,0,0,0,0,0,0,"['대학', '기억', '처절', '행복']"
41,역전! 야매요리,9.83,정다정,0,1,0,0,1,0,0,0,0,0,0,0,0,"['포토', '요리', '도전', '전기', '실패']"
42,놓지마 정신줄 시즌2,9.95,신태훈,0,1,0,0,0,0,0,1,0,0,0,0,1,"['이탈', '유체', '예방', '정주', '프로젝트', '이제', '다양', '주변', '인물', '남매', '에피소드', '본격', '정신', '독특']"
43,세상은 돈과 권력,9.89,한동우,0,1,0,0,1,0,0,0,0,0,0,0,0,"['일반', '재벌', '고등학교', '거대', '싸움', '천재', '건우', '권력', '전학', '법칙', '자본', '두뇌', '학교', '차지', '난무', '세가', '선생', '굴복', '학생']"
44,밥 먹고 갈래요?,9.97,오묘,0,1,0,0,0,0,0,0,1,0,0,0,0,"['타임', '주말', '주중', '오묘', '지친']"
45,와탕카,9.63,우주인,0,1,0,1,0,0,0,0,0,0,0,0,0,"['모두', '우주인', '센스', '단어', '지화자', '유머']"
46,돼지만화,4.56,돼지작가,0,1,0,0,1,0,0,0,0,0,0,0,0,"['동네', '일상', '돼지', '주의']"
47,웅이는 배고파,9.73,박웅,0,1,0,0,1,0,0,0,0,0,0,0,0,[]
48,선천적 얼간이들,9.98,가스파드,0,1,0,1,0,0,0,0,0,0,0,0,0,"['친구', '무엇', '말초적', '얼간이', '가스', '인류', '좌충우돌', '우유부단', '낙천', '라이프', '낙천적']"
49,낢이 사는 이야기,9.81,서나래,0,1,0,1,0,0,0,0,0,0,0,0,0,"['사생활', '소한', '혼란', '도가니', '인생', '오늘', '계속']"
50,골방환상곡,9.92,워니,0,1,0,1,0,0,0,0,0,0,0,0,0,"['친구', '리얼', '골방', '스토리', '오픈', '전격', '공감', '센스', '환상곡', '늑대', '도전', '절대']"
51,공감.jpg,4.43,임총,0,1,0,0,1,0,0,0,0,0,0,0,0,"['반박', '불가', '공감']"
52,2019 루키 단편선-지옥캠프,9.88,웹툰작가,0,1,0,0,0,0,0,1,0,0,0,0,0,"['이두', '직접', '슈퍼', '현세', '지옥', '캠프', '데뷔', '전설', '단편', '프로']"
53,오빠 왔다,9.7,모나,0,1,0,1,0,0,0,0,0,0,0,0,0,"['리얼', '남매', '영화', '오빠', '드라마']"
54,생활의참견,9.95,김양수,0,1,0,1,0,0,0,0,0,0,0,0,0,"['일상', '추억', '발견', '웃음', '생활', '유머']"
55,나는 귀머거리다,9.98,라일라,0,1,0,0,0,0,0,1,0,0,0,0,0,"['대한민국', '장애인', '청각']"
56,플라워(FLOWAR),9.93,홍작가,0,1,0,0,1,0,0,0,0,0,0,0,0,"['시마', '환경', '인류', '정착', '행성']"
57,패밀리 사이즈,9.96,남지은,0,1,0,0,0,0,0,0,0,1,0,0,0,"['만화가', '사이즈', '결혼', '형제', '규모', '막내딸', '육아', '패밀리', '부부', '가족']"
58,터치! 메리크리스마스,9.78,웹툰작가,0,1,0,1,0,0,0,0,0,0,0,0,0,"['요즘', '무엇', '근황', '만점', '단편', '크리스마스']"
59,203호 저승사자,9.91,샤니,0,1,0,1,0,0,0,0,0,0,0,0,0,"['정신', '저승사자']"
60,공포단편선X,9.71,김대일,0,1,0,0,1,0,0,0,0,0,0,0,0,"['결과', '연출력', '다양', '예측', '이색적', '대일', '단편', '공포', '이색']"
61,달콤한 인생,9.95,이동건,0,1,0,1,0,0,0,0,0,0,0,0,0,"['거지', '백수', '커플', '에피소드', '싱글', '직장인']"
62,자취로운 생활,9.96,츄카피,0,1,0,1,0,0,0,0,0,0,0,0,0,"['방구석', '자취', '개념']"
63,와라! 편의점,9.85,지강민,0,1,0,0,1,0,0,0,0,0,0,0,0,"['동네', '점도', '편의점', '피해', '편의', '에피소드', '본격']"
64,가우스전자 시즌3~4,9.97,곽백수,0,1,0,0,0,0,0,0,0,1,0,0,0,"['다국적', '기업', '현실', '문어발', '직장인', '전자', '가우스']"
65,아랫집 시누이,9.95,김진,0,1,0,0,1,0,0,0,0,0,0,0,0,"['고부', '갈등', '이제']"
66,지옥,9.77,연상호,0,1,0,1,0,0,0,0,0,0,0,0,0,"['직면', '현상', '초자연', '현실', '기적', '지옥', '부산', '감당', '송곳', '규석', '상호', '저주', '감독']"
67,스퍼맨: 현자단의 역습,9.95,하일권,0,1,0,0,0,0,0,1,0,0,0,0,0,['현자']
68,2019 병영일기,9.83,웹툰작가,0,1,0,1,0,0,0,0,0,0,0,0,0,"['입대', '기상', '저녁', '아침', '지옥', '주인공', '나팔', '생활', '방출', '점호']"
69,Penguin loves Mev,9.96,펭귄,0,1,0,0,1,0,0,0,0,0,0,0,0,"['시즌', '펭귄과', '스토리', '영국', '러브', '한국']"
70,트라우마,9.92,곽백수,0,1,0,1,0,0,0,0,0,0,0,0,0,"['펀치', '초특급', '확인', '반전', '특급', '코믹', '외상', '정신', '정신적']"
71,모두에게 완자가,9.71,완자,0,1,0,1,0,0,0,0,0,0,0,0,0,"['사랑', '모두', '일상', '자가', '완자', '그날', '오기']"
72,오늘도 형제는 평화롭다,9.97,GIMS,0,1,0,0,1,0,0,0,0,0,0,0,0,"['형제', '중심', '사건']"
73,혈액형에 관한 간단한 고찰,9.89,박동선,0,1,0,0,1,0,0,0,0,0,0,0,0,"['자유분방', '섬세', '하면서', '혈액형', '분석력', '좌충우돌', '에피소드', '우유부단']"
74,사소한 냐냐,9.86,LICO,0,1,0,1,0,0,0,0,0,0,0,0,0,"['수술', '사수', '중성화', '이후', '패스', '고양이', '소시', '사이코']"
75,오늘 밤은 어둠이 무서워요,9.96,김진,0,1,0,0,1,0,0,0,0,0,0,0,0,"['시기', '독립생활', '자취', '독립', '생활', '연애']"
76,여탕보고서,9.95,마일로,0,1,0,1,0,0,0,0,0,0,0,0,0,"['여탕', '자가', '진실', '신비', '세계', '공간', '가본', '금남']"
77,살인자o난감,9.97,꼬마비,0,1,0,0,0,1,0,0,0,0,0,0,0,"['독자', '혼란', '수록', '반전']"
78,스퍼맨 시즌2,9.97,하일권,0,1,0,0,0,0,0,0,1,0,0,0,0,"['망상', '능력자', '야한', '가능', '염력', '능력']"
79,2D남친 별책부록,9.82,웹툰작가,0,1,0,0,0,0,0,0,0,0,0,0,0,"['공개', '로맨스', '인기', '주인공', '에피소드', '방출']"
80,우리집에 곰이 이사왔다,9.97,켄타,0,1,0,0,0,0,0,0,0,1,0,0,0,"['마법', '북숭이', '계의', '국가', '고생', '라이프', '파견', '요원', '명령', '에이스', '개고', '세상', '파란만장', '정예']"
81,슈퍼 시크릿,9.98,이온,0,1,0,0,0,0,0,0,0,0,0,0,0,"['친구', '소꿉', '이웃집', '술래잡기', '여대생', '조금', '특별', '여대', '비밀', '견우']"
82,내 ID는 강남미인! - 둘만의 시간,9.96,기맹기,0,1,0,0,0,0,0,0,0,0,0,0,0,"['계획', '여행', '강남', '처음', '회색', '섹시', '연애', '미인', '커플', '컴백', '고양이', '특별', '기념', '아기', '외전', '드라마']"
83,실질객관동화,9.9,무적핑크,0,1,0,0,1,0,0,0,0,0,0,0,0,"['동화', '시각', '객관', '객관적', '생소']"
84,스마트폰 게임 개발 이야기,9.74,유영욱,0,1,0,1,0,0,0,0,0,0,0,0,0,"['좌충우돌', '개발', '게임', '현장']"
85,빙탕후루,9.96,장희,0,1,0,0,0,0,0,1,0,0,0,0,0,"['잔인', '퇴치', '요괴', '중국', '현세', '주호', '송나라', '환상', '여정', '자비']"
86,와탕카2,8.99,우주인,0,1,0,0,0,0,0,0,1,0,0,0,1,"['시즌', '작화', '우주인', '업그레이드', '센스', '유머']"
87,썸남,9.97,배철완,0,1,0,0,0,0,0,0,0,0,0,0,0,"['고찰', '수상작', '대학', '최강자', '옆방', '어색']"
88,소년들은 무엇을 하고 있을까,9.41,컷부,0,1,0,0,0,1,0,0,0,0,0,0,0,"['다양', '소년']"
89,환생동물학교,9.99,엘렌 심,0,1,0,0,1,0,0,0,0,0,0,0,0,"['동물', '걱정', '사랑', '선생님', '환생', '습성', '세계', '신입', '주인', '학교', '적응', '교육']"
90,낢 부럽지 않은 신혼여행기,9.97,서나래,0,1,0,0,1,0,0,0,0,0,0,0,0,"['유럽', '나래', '신혼', '여행기']"
91,일상날개짓,9.94,나유진,0,1,0,0,1,0,0,0,0,0,0,0,0,"['시즌', '사랑', '일상', '스토리', '아들', '싱글', '아기', '성장', '날개']"
92,식스센스,9.23,릴레이연재,0,1,0,1,0,0,0,0,0,0,0,0,0,['주제']
93,갸오오와 사랑꾼들,9.94,갸오오,0,1,0,0,0,0,0,0,0,0,0,1,0,"['친구', '사랑', '일상', '퇴짜', '좌충우돌', '도전', '절대', '전기', '차이']"
94,조석축구만화,9.81,조석,0,1,0,0,1,0,0,0,0,0,0,0,0,"['축구', '해외', '조석']"
95,선녀님은 휴가중,9.25,으늬,0,1,0,0,0,0,1,0,0,0,0,0,0,"['천상계', '가정부', '밤새', '온달', '만들기', '철부지', '매일', '사랑', '지간', '원수', '주한', '직녀', '야밤', '철벽', '게임', '나이트', '공주', '도주', '선언', '온라인', '원수지간', '시집', '지구인', '상제']"
96,일진에게 회초리,9.95,유승연,0,1,0,0,1,0,0,0,0,0,0,0,0,"['시대', '반포', '고등학생', '세종', '세기', '훈민정음', '불량', '정이', '빙의', '조선', '급식', '난무', '참뜻']"
97,푸들과 Dog거중,9.98,최삡뺩,0,1,0,0,0,0,0,0,0,1,0,0,0,"['독거', '푸들', '이상', '일상']"
98,빨간책,9.78,랑또,0,1,0,1,0,0,0,0,0,0,0,0,0,"['빨간책', '수록', '생각']"
99,열대어,9.94,실버벨,0,1,0,0,1,0,0,0,0,0,0,0,0,"['생선', '감투', '공감']"
100,백귀야행지,9.88,아만(阿慢),0,1,0,0,1,0,0,0,0,0,0,0,0,"['버전', '연재', '도깨비', '동시', '글로벌', '소름', '라인', '한국어', '웃음', '감상']"
101,언럭키 맨션,9.98,약국,0,1,0,0,0,0,0,1,0,0,0,0,0,"['동거', '맨션', '라이프']"
102,텍사스홀덤,9.87,onesound,0,1,0,0,0,0,0,0,1,0,0,0,0,"['세계', '사의', '승부']"
103,네이버 앱피소드,9.63,웹툰작가,0,1,0,1,0,0,0,0,0,0,0,0,0,"['릴레이', '출동', '인기']"
104,만렙소녀 오오라,9.47,김규삼,0,1,0,0,1,0,0,0,0,0,0,0,0,"['모험', '화지', '오라']"
105,모던패밀리 2,9.68,외눈박이,0,1,0,0,1,0,0,0,0,0,0,0,0,"['고군분투', '시즌', '분투', '수상', '행복', '가정', '고군', '가족']"
106,와라편의점 the animation,9.76,와라패밀리,0,1,0,0,1,0,0,0,0,0,0,0,0,"['동네', '점도', '편의점', '다양', '피해', '메이', '편의', '컨텐츠', '에피소드']"
107,판다독,9.84,판다독,0,1,0,0,0,0,0,0,0,0,0,0,0,"['사회', '왕자', '회사', '피그', '펭귄', '리얼', '스토리', '엄마', '좌충우돌', '독이', '캐릭터', '취업', '생활', '디자이너', '여동생', '판다']"
108,보글보글,9.91,요나,0,1,0,0,1,0,0,0,0,0,0,0,0,"['가슴', '미식']"
109,스쿨홀릭,9.89,신의철,0,1,0,1,0,0,0,0,0,0,0,0,0,"['일상', '중독', '대한민국', '학교', '스쿨', '선생', '학생']"
110,엔드리스,9.96,윤준식,0,1,0,0,0,0,0,1,0,0,0,0,0,"['구분', '미래', '진짜', '머지', '현실', '본질', '존재', '가치', '혼재', '가짜', '세상', '가상현실']"
111,3인칭,9.94,꼬마비,0,1,0,0,0,0,0,0,0,1,0,0,0,['사랑']
112,2016 학교 다녀오겠습니다,9.41,웹툰작가,0,1,0,1,0,0,0,0,0,0,0,0,0,"['개그', '신학기', '준비', '단편']"
113,데우스 엑스 마키나,9.93,꼬마비,0,1,0,0,1,0,0,0,0,0,0,0,1,[]
114,부토,9.92,정현주,0,1,0,0,0,0,0,1,0,0,0,0,0,"['현주', '출생', '수련', '얘기', '결투', '트럼프', '비밀', '승리']"
115,메이크 업 드림 - Make Up Dream,7.12,김계란 X 네이버...,0,1,0,1,0,0,0,0,0,0,0,0,0,"['지금', '계란', '특집', '가이드', '부작', '에피소드', '실전', '메이크업']"
116,세상과 하늘 사이,8.96,우기리,0,1,0,0,0,0,0,1,0,0,0,0,0,"['교사', '제시', '부인', '결혼', '스타', '하늘', '미혼', '불안', '사실', '계약', '제안', '보육', '스타인', '상태', '남편', '고액', '한류', '세상', '진단']"
117,구석구석캠페인,9.21,네이버 웹툰 작가,0,1,0,0,1,0,0,0,0,0,0,0,0,"['여행', '구석구석', '대한민국', '주말']"
118,내 어린고양이와 늙은개,9.91,초,0,1,0,1,0,0,0,0,0,0,0,0,0,"['동물', '시점', '반려', '그린', '서로']"
119,취업의소리,9.16,"조석,워니",0,1,0,0,0,0,0,1,0,0,0,0,0,"['청년', '인의', '고민', '조석', '취업', '웃음']"
120,27-10,9.93,AJS,0,1,0,1,0,0,0,0,0,0,0,0,0,"['기록', '시간']"
121,부부생활,9.94,써니사이드업,0,1,0,0,0,0,0,0,1,0,0,0,0,['유부']
122,한국만화거장전 : 만화보물섬,9.88,한국만화가협회,0,1,0,0,1,0,0,0,0,0,0,0,0,"['시대', '단편', '보물섬', '풍미', '잡지', '한국', '거장']"
123,갓!김치,7.38,김민우,0,1,0,0,0,0,0,1,0,0,0,0,0,"['등장', '신토불이', '어로']"
124,일편단심화,9.79,심윤수,0,1,0,0,1,0,0,0,0,0,0,0,0,"['그림', '일편단심', '골방', '침묵', '환상곡']"
125,아프니까 병원이다,9.89,고리타,0,1,0,1,0,0,0,0,0,0,0,0,0,"['생활기', '진짜', '일상', '환자', '입장', '가슴', '병원', '생활']"
126,실질객관영화,9.73,무적핑크,0,1,0,1,0,0,0,0,0,0,0,0,0,"['어로', '실질적', '객관', '실질', '객관적', '시선', '영화']"
127,오빠야 누나야,9.62,긴유,0,1,0,1,0,0,0,0,0,0,0,0,0,"['누나', '허락', '오빠', '마찬가지']"
128,열정호구,9.93,솔뱅이,0,1,0,0,0,0,0,1,0,0,0,0,0,"['성공', '관문', '함정', '취업', '꽃길']"
129,2011 루키 단편선-지옥캠프,9.81,웹툰작가,0,1,0,1,0,0,0,0,0,0,0,0,0,"['프로', '이두', '직접', '현세', '전설적', '신인', '전설', '단편', '호가']"
130,한국만화 또 다른 시선,9.75,웹툰작가,0,1,0,0,0,0,0,1,0,0,0,0,0,"['단편집', '제안']"
131,구름의 이동속도,9.98,김이랑,0,1,0,1,0,0,0,0,0,0,0,0,0,"['완의', '목표', '고교', '홍상', '수저', '탈출', '유일한', '생활']"
132,잡다한컷,9.91,그림왕양치기,0,1,0,0,0,0,0,0,1,0,0,0,0,[]
133,아이키우는만화,9.46,쇼쇼,0,1,0,0,0,0,0,1,0,0,0,0,0,"['아기', '세상', '출산', '레벨']"
134,홍차리브레,9.98,꼬모소이,0,1,0,1,0,0,0,0,0,0,0,0,0,"['물음', '행복', '어가', '살의']"
135,오늘도 핸드메이드!,9.97,소영,0,1,0,0,0,0,0,1,0,0,0,0,0,['보기']
136,개편 축하 릴레이 카툰,9.55,네이버웹툰작가,0,1,0,1,0,0,0,0,0,0,0,0,0,"['만화가', '다양', '개편', '세계', '축하', '카툰', '프로', '릴레이']"
137,창공의 타이양사무소,9.96,박유나,0,1,0,0,0,0,0,1,0,0,0,0,0,"['웃음', '사랑', '인생']"
138,성공한 덕후,9.89,옛사람,0,1,0,0,0,0,0,0,1,0,0,0,0,"['성덕', '한번', '아침', '오빠']"
139,아이돌 연구소,9.45,해마,0,1,0,0,1,0,0,0,0,0,0,0,0,"['지금', '아이', '연구소']"
140,만 화 고,7.21,김8,0,1,0,0,1,0,0,0,0,0,0,0,0,"['공이', '오타쿠', '존재', '주인공', '주인']"
141,만화사랑 캠페인,6.27,웹툰작가,0,1,0,0,0,0,0,1,0,0,0,0,0,"['만화가', '재용', '제석', '말년', '만남', '최고', '각계각층', '대표', '각층', '전문가', '각계', '현우', '하일']"
142,도자기,9.78,호연,0,1,0,0,1,0,0,0,0,0,0,0,0,"['현대', '무엇', '문화재', '현대적', '상상', '세계', '도자기', '감수성', '오늘']"
143,내 여자친구는 상남자,9.97,맛스타,0,1,0,0,0,0,0,0,0,0,0,0,0,"['친구', '로맨스', '아침', '엉망진창', '코믹', '지은이', '판타지', '하루']"
144,암흑도시,9.93,정뱅,0,1,0,0,0,0,0,1,0,0,0,0,0,"['도시', '암흑', '소한']"
145,불괴,9.4,폭주필,0,1,0,0,0,0,1,0,0,0,0,0,0,"['파괴', '맹이', '전대', '아치', '절명', '양아치', '무림', '백기', '위기', '고수', '내공', '흡수', '절체절명', '생양', '타파']"
146,움비처럼,9.89,권혁주,0,1,0,0,0,0,0,0,1,0,0,0,0,"['즐거움', '정화', '일상', '느림', '추구', '마음']"
147,Yes my boss(예스마이보스),9.97,김밀콩,0,1,0,1,0,0,0,0,0,0,0,0,0,"['생활고', '타임', '직장인', '회사일', '아린', '만화가', '첫날', '동생', '상사', '파트타임', '부족', '작업실', '어시', '발등', '의심', '월급', '파트', '사고', '세월', '필요', '직업', '취직', '회사', '출근', '고료']"
148,엄마와 딸 x2,9.97,필냉이,0,1,0,0,0,1,0,0,0,0,0,0,0,"['생활기', '인자', '모녀', '엄마', '본격', '생활', '삼대', '외할머니']"
149,내일은 웹툰,9.88,신의철,0,1,0,1,0,0,0,0,0,0,0,0,0,['내일']
150,2인용 인간,9.86,WONDER,0,1,0,0,1,0,0,0,0,0,0,0,0,"['인물', '인생']"
151,와장창창! 자취맨,9.95,폭타,0,1,0,1,0,0,0,0,0,0,0,0,0,"['엉망', '리얼', '진창', '엉망진창', '자취', '인생']"
152,까뱅,8.82,X-TEAM,0,1,0,0,0,0,0,1,0,0,0,0,0,"['시티', '영웅', '치킨']"
153,태릉좀비촌,9.36,하얀독수리,0,1,0,0,0,0,0,1,0,0,0,0,0,"['운동선수', '운동', '리스트', '훈련', '은메달', '바이러스', '대한민국', '유도', '격리', '목숨', '신체', '선수촌', '선수', '엘리트', '중요', '양궁', '강도', '구역', '능력']"
154,영월동 534번지,9.77,임성훈,0,1,0,0,1,0,0,0,0,0,0,0,0,"['선거', '한국', '있음', '과정', '치료', '코앞', '입양', '국회의원', '새봄', '방문', '박정', '계기', '우마', '확인', '어머니', '화재', '눈치', '재단', '트라', '연관', '관계', '밀접', '이사장', '사건', '관련', '과거', '기억', '시절', '사실', '여리']"
155,토니와 함께,9.92,정성완,0,1,0,1,0,0,0,0,0,0,0,0,0,"['황폐', '내가', '목표', '도피', '부모', '부모님', '존재', '전염병', '발견', '인생', '강아지', '자취방', '세상', '여정']"
